title,genres,keywords,overview
Avatar,Action Adventure Fantasy,future marine tribe,A marine on an alien planet.
The Avengers,Action Adventure Sci-Fi,superhero s.h.i.e.l.d.,Earths mightiest heroes must come together.
Interstellar,Adventure Drama Sci-Fi,space black hole time,A team travels through a wormhole in space.
The Dark Knight,Action Crime Drama,joker superhero crime,Batman faces the Joker.
Inception,Action Adventure Sci-Fi,dream subconscious theft,A thief who steals corporate secrets through dream-sharing.
Titanic,Drama Romance,ship sinking romance,A love story on the ill-fated Titanic.
The Matrix,Action Sci-Fi,virtual reality hacker,A hacker discovers the world is a simulation.
Jurassic Park,Adventure Sci-Fi Thriller,dinosaur island science,Scientists clone dinosaurs and chaos ensues.
Gladiator,Action Adventure Drama,gladiator roman empire,A Roman general seeks revenge.
The Lion King,Animation Adventure Drama,lion jungle kingdom,A lion cub finds his place as king.
